s,M_k
0.52635035035035,57.0657271831322
0.529352352352352,56.8501071731309
0.532354354354354,56.635782008672
0.535356356356356,56.4227462984363
0.538358358358358,56.2109944839219
0.54136036036036,56.0005208497225
0.544362362362362,55.7913195333515
0.547364364364364,55.583384534634
0.550366366366366,55.376709724683
0.553368368368368,55.1712888544783
0.55637037037037,54.9671155630647
0.559372372372372,54.7641833853859
0.562374374374374,54.5624857597683
0.565376376376376,54.3620160350718
0.568378378378378,54.1627674775188
0.57138038038038,53.9647332772173
0.574382382382382,53.7679065543896
0.577384384384384,53.5722803653195
0.580386386386386,53.3778477080302
0.583388388388388,53.1846015277037
0.58639039039039,52.9925347218522
0.589392392392392,52.8016401452531
0.592394394394394,52.6119106146567
0.595396396396396,52.4233389132765
0.598398398398398,52.2359177950704
