s,eta
0.523348348348348,0.226400804431645
0.52635035035035,0.224323876633407
0.529352352352352,0.222258876170782
0.532354354354354,0.220205702574291
0.535356356356356,0.218164256460083
0.538358358358358,0.216134439516305
0.54136036036036,0.21411615448965
0.544362362362362,0.212109305172068
0.547364364364364,0.210113796387665
0.550366366366366,0.208129533979752
0.553368368368368,0.206156424798079
0.55637037037037,0.204194376686225
0.559372372372372,0.20224329846916
0.562374374374374,0.200303099940962
0.565376376376376,0.198373691852705
0.568378378378378,0.196454985900502
0.57138038038038,0.194546894713706
0.574382382382382,0.192649331843269
0.577384384384384,0.190762211750256
0.580386386386386,0.188885449794511
0.583388388388388,0.187018962223477
0.58639039039039,0.185162666161162
0.589392392392392,0.183316479597255
0.592394394394394,0.181480321376389
0.595396396396396,0.179654111187546
