s,P_2
0.523348348348348,2677.03546264248
0.52635035035035,2649.13865318731
0.529352352352352,2621.45977817759
0.532354354354354,2593.9967512002
0.535356356356356,2566.74750051447
0.538358358358358,2539.7099693909
0.54136036036036,2512.88211641942
0.544362362362362,2486.26191578878
0.547364364364364,2459.84735753895
0.550366366366366,2433.63644778766
0.553368368368368,2407.62720893288
0.55637037037037,2381.81767983239
0.559372372372372,2356.20591596185
0.562374374374374,2330.78998955246
0.565376376376376,2305.56798970959
0.568378378378378,2280.5380225133
0.57138038038038,2255.69821110186
0.574382382382382,2231.04669573929
0.577384384384384,2206.58163386784
0.580386386386386,2182.30120014633
0.583388388388388,2158.20358647512
0.58639039039039,2134.28700200864
0.589392392392392,2110.5496731561
0.592394394394394,2086.98984357128
0.595396396396396,2063.60577413185
