iter	Passed	Remaining
656	5172	93247
657	5179	93221
658	5187	93207
659	5194	93184
660	5202	93181
661	5208	93142
662	5215	93121
663	5222	93090
664	5232	93117
665	5240	93108
666	5245	93059
667	5252	93029
668	5262	93074
669	5278	93198
670	5285	93179
671	5291	93142
672	5298	93120
673	5306	93115
674	5314	93107
675	5323	93108
676	5330	93096
677	5337	93068
678	5345	93063
679	5353	93058
680	5360	93037
681	5365	92982
682	5373	92961
683	5379	92933
684	5388	92934
685	5397	92955
686	5408	93005
687	5420	93067
688	5428	93056
689	5437	93060
690	5444	93042
691	5452	93040
692	5458	92996
693	5466	92994
694	5473	92972
695	5480	92946
696	5489	92953
697	5495	92917
698	5502	92890
699	5507	92843
700	5515	92841
701	5521	92803
702	5530	92803
703	5536	92760
704	5543	92741
705	5549	92710
706	5557	92705
707	5563	92662
708	5571	92649
709	5576	92604
710	5585	92617
711	5592	92596
712	5599	92575
713	5608	92572
714	5613	92532
715	5621	92521
716	5627	92485
717	5635	92472
718	5640	92425
719	5649	92424
720	5656	92404
721	5665	92419
722	5672	92398
723	5680	92398
724	5689	92405
725	5696	92385
726	5704	92385
727	5712	92377
728	5719	92351
729	5728	92363
730	5734	92322
731	5743	92332
732	5752	92341
733	5759	92318
734	5765	92294
735	5771	92254
736	5779	92251
737	5786	92223
738	5795	92229
739	5803	92221
740	5810	92202
741	5818	92199
742	5824	92164
743	5832	92157
744	5838	92123
745	5845	92098
746	5850	92053
747	5859	92055
748	5865	92027
749	5874	92036
750	5883	92041
751	5895	92101
752	5901	92058
753	5907	92024
754	5912	91983
755	5921	91991
756	5935	92074
757	5948	92147
758	5955	92126
759	5965	92151
760	5973	92152
761	5982	92151
762	5991	92170
763	5999	92153
764	6005	92117
765	6013	92111
766	6021	92107
767	6030	92115
768	6037	92093
769	6044	92085
770	6052	92079
771	6065	92143
772	6073	92142
773	6082	92154
774	6091	92154
775	6099	92147
776	6106	92135
777	6114	92119
778	6122	92121
779	6129	92101
780	6138	92104
781	6148	92130
782	6162	92222
783	6172	92243
784	6180	92231
785	6188	92227
786	6197	92237
787	6204	92215
788	6212	92207
789	6219	92193
790	6227	92180
791	6233	92146
792	6239	92111
793	6245	92081
794	6254	92090
795	6261	92071
796	6269	92064
797	6278	92063
798	6284	92032
799	6292	92025
800	6297	91984
801	6303	91941
802	6311	91932
803	6320	91939
804	6327	91928
805	6335	91917
806	6343	91915
807	6351	91903
808	6358	91893
809	6366	91885
810	6372	91842
811	6380	91846
812	6389	91846
813	6396	91828
814	6402	91795
815	6411	91807
816	6420	91813
817	6427	91793
818	6435	91786
819	6443	91774
820	6451	91778
821	6459	91762
822	6466	91753
823	6474	91748
824	6481	91727
825	6490	91726
826	6497	91706
827	6504	91696
828	6513	91699
829	6525	91745
830	6532	91731
831	6540	91730
832	6548	91722
833	6556	91715
834	6564	91711
835	6571	91688
836	6579	91679
837	6585	91651
838	6594	91649
839	6601	91630
840	6609	91629
841	6616	91610
842	6622	91582
843	6629	91550
844	6634	91515
845	6645	91544
846	6660	91635
847	6675	91731
848	6686	91765
849	6695	91768
850	6702	91749
851	6709	91725
852	6717	91716
853	6725	91719
854	6734	91718
855	6741	91702
856	6749	91702
857	6757	91692
858	6773	91791
859	6789	91892
860	6799	91910
861	6806	91899
862	6815	91898
863	6821	91875
864	6830	91877
865	6837	91860
866	6845	91855
867	6853	91846
868	6860	91827
869	6869	91832
870	6878	91836
871	6884	91808
872	6893	91805
873	6899	91774
874	6907	91776
875	6914	91749
876	6921	91732
877	6929	91725
878	6939	91748
879	6948	91755
880	6955	91737
881	6970	91817
882	6977	91801
883	6985	91796
884	6991	91755
885	6999	91748
886	7005	91724
887	7013	91714
888	7019	91675
889	7026	91656
890	7033	91640
891	7041	91640
892	7051	91647
893	7057	91627
894	7066	91630
895	7075	91637
896	7082	91608
897	7088	91576
898	7093	91537
899	7100	91516
900	7108	91507
901	7118	91524
902	7124	91497
903	7132	91485
904	7137	91449
905	7146	91449
906	7153	91430
907	7160	91420
908	7168	91405
909	7175	91388
910	7188	91449
911	7199	91475
912	7206	91457
913	7214	91448
914	7222	91440
915	7228	91413
916	7236	91409
917	7244	91402
918	7251	91377
919	7257	91355
920	7266	91350
921	7274	91346
922	7281	91335
923	7289	91329
924	7297	91319
925	7305	91310
926	7313	91298
927	7320	91280
928	7328	91275
929	7335	91255
930	7344	91260
931	7351	91251
932	7359	91241
933	7367	91238
934	7373	91205
935	7381	91195
936	7388	91175
937	7404	91273
938	7412	91257
939	7419	91243
940	7425	91215
941	7435	91234
942	7442	91212
943	7450	91206
944	7458	91197
945	7465	91178
946	7472	91164
947	7478	91125
948	7485	91116
949	7492	91094
950	7502	91105
951	7510	91104
952	7517	91085
953	7525	91084
954	7532	91062
955	7540	91053
956	7546	91029
957	7559	91082
958	7567	91065
959	7574	91054
960	7581	91037
961	7590	91033
962	7596	91010
963	7605	91009
964	7613	91004
965	7618	90967
966	7625	90948
967	7633	90943
968	7640	90921
969	7646	90887
970	7652	90864
971	7660	90851
972	7668	90851
973	7674	90823
974	7682	90809
975	7689	90789
976	7696	90777
977	7704	90774
978	7712	90759
979	7720	90756
980	7727	90734
981	7734	90723
982	7740	90687
983	7747	90673
984	7754	90653
985	7763	90655
986	7770	90641
987	7777	90622
988	7785	90615
989	7790	90579
990	7798	90565
991	7805	90551
992	7814	90551
993	7821	90536
994	7830	90541
995	7837	90523
996	7843	90490
997	7851	90484
998	7857	90465
999	7865	90449
1000	7872	90431
1001	7879	90422
1002	7886	90404
1003	7893	90386
1004	7901	90379
1005	7909	90369
1006	7917	90365
1007	7924	90341
1008	7932	90334
1009	7938	90312
1010	7946	90302
1011	7954	90295
1012	7962	90294
1013	7971	90291
1014	7978	90280
1015	7984	90255
1016	7990	90217
1017	7997	90201
1018	8003	90179
1019	8010	90158
1020	8018	90148
1021	8025	90139
1022	8034	90139
1023	8041	90118
1024	8049	90118
1025	8057	90109
1026	8065	90104
1027	8073	90099
1028	8080	90080
1029	8088	90069
1030	8094	90044
1031	8102	90039
1032	8110	90033
1033	8117	90013
1034	8124	89992
1035	8131	89980
1036	8139	89970
1037	8145	89950
1038	8154	89951
1039	8162	89941
1040	8170	89941
1041	8179	89945
1042	8184	89908
1043	8193	89903
1044	8198	89873
1045	8211	89922
1046	8221	89933
1047	8228	89916
1048	8234	89889
1049	8242	89879
1050	8249	89869
1051	8257	89864
1052	8265	89849
1053	8273	89851
1054	8281	89845
1055	8289	89832
1056	8299	89847
1057	8307	89846
1058	8314	89829
1059	8325	89854
1060	8332	89834
1061	8340	89824
1062	8347	89808
1063	8355	89803
1064	8362	89791
1065	8370	89786
1066	8378	89773
1067	8384	89749
1068	8391	89733
1069	8399	89728
1070	8406	89709
1071	8414	89702
1072	8421	89689
1073	8429	89679
1074	8435	89647
1075	8443	89641
1076	8450	89632
1077	8458	89621
1078	8467	89627
1079	8473	89598
1080	8481	89594
1081	8488	89576
1082	8496	89574
1083	8504	89564
1084	8511	89546
1085	8519	89540
1086	8525	89516
1087	8533	89506
1088	8539	89485
1089	8546	89465
1090	8552	89438
1091	8559	89422
1092	8565	89393
1093	8574	89397
1094	8583	89398
1095	8592	89404
1096	8599	89394
1097	8606	89375
1098	8615	89375
1099	8622	89364
1100	8630	89350
1101	8638	89344
1102	8644	89317
1103	8652	89316
1104	8659	89302
1105	8667	89295
1106	8675	89289
1107	8682	89270
1108	8692	89279
1109	8699	89267
1110	8707	89263
1111	8714	89249
1112	8721	89225
1113	8729	89218
1114	8735	89191
1115	8743	89188
1116	8750	89170
1117	8757	89160
1118	8763	89129
1119	8769	89108
1120	8776	89089
1121	8783	89071
1122	8788	89039
1123	8796	89028
1124	8803	89010
1125	8817	89071
1126	8832	89136
1127	8840	89123
1128	8848	89114
1129	8854	89091
1130	8861	89076
1131	8867	89052
1132	8874	89038
1133	8880	89006
1134	8888	89002
1135	8895	88988
1136	8904	88986
1137	8912	88985
1138	8919	88966
1139	8928	88967
1140	8934	88949
1141	8951	89031
1142	8959	89022
1143	8967	89015
1144	8973	88988
1145	8982	88992
1146	8990	88986
1147	8997	88968
1148	9006	88970
1149	9012	88953
1150	9021	88951
1151	9029	88946
1152	9036	88930
1153	9049	88971
1154	9058	88978
1155	9064	88949
1156	9072	88941
1157	9080	88940
1158	9086	88916
1159	9092	88891
1160	9099	88870
1161	9106	88856
1162	9113	88842
1163	9119	88814
1164	9126	88794
1165	9133	88780
1166	9139	88753
1167	9147	88749
1168	9153	88724
1169	9162	88725
1170	9170	88723
1171	9176	88700
1172	9184	88690
1173	9191	88671
1174	9199	88671
1175	9206	88652
1176	9215	88656
1177	9224	88659
1178	9231	88643
1179	9240	88648
1180	9247	88628
1181	9254	88612
1182	9261	88598
1183	9269	88592
1184	9276	88578
1185	9284	88572
1186	9293	88577
1187	9301	88563
1188	9308	88551
1189	9316	88546
1190	9324	88535
1191	9338	88594
1192	9346	88586
1193	9354	88582
1194	9362	88574
1195	9371	88577
1196	9380	88573
1197	9385	88547
1198	9393	88538
1199	9400	88518
1200	9406	88500
1201	9415	88497
1202	9423	88494
1203	9431	88487
1204	9437	88458
1205	9443	88437
1206	9449	88410
1207	9458	88416
1208	9466	88406
1209	9474	88400
1210	9482	88391
1211	9489	88384
1212	9498	88379
1213	9504	88359
1214	9512	88350
1215	9520	88342
1216	9527	88329
1217	9532	88298
1218	9541	88299
1219	9547	88277
1220	9555	88269
1221	9563	88262
1222	9569	88234
1223	9575	88209
1224	9580	88181
1225	9588	88170
1226	9594	88147
1227	9601	88130
1228	9608	88114
1229	9615	88103
1230	9622	88086
1231	9630	88079
1232	9636	88055
1233	9642	88034
1234	9648	88007
